รหัสรถ,ทะเบียน,รุ่น,เส้นทาง,เลขตัวถัง
65,33-6600,SkyWell,โครงการเตรียมจุฬา,LB9KB5KC4HENJL981
66,กำลังจดทะเบียน,Sunlong,โครงการ มหิดล ภายนอก (9คัน),LPHMA4BG1RY000814
67,กำลังจดทะเบียน,Sunlong,โครงการ มหิดล ภายนอก (9คัน),LPHMA4BG3RY000815
71,กำลังจดทะเบียน,Sunlong,โครงการ มหิดล ภายนอก (9คัน),LPHMA4BG2SY001461
69,กำลังจดทะเบียน,Sunlong,โครงการ มหิดล ภายนอก (9คัน),LPHMA4BG7RY000817
68,กำลังจดทะเบียน,Sunlong,โครงการ มหิดล ภายนอก (9คัน),LPHMA4BG5RY000816
72,กำลังจดทะเบียน,Sunlong,โครงการ มหิดล ภายนอก (9คัน),LPHMA4BG4SY001462
73,กำลังจดทะเบียน,Sunlong,โครงการ มหิดล ภายนอก (9คัน),LPHMA4BG6SY001463
74,กำลังจดทะเบียน,Sunlong,โครงการ มหิดล ภายนอก (9คัน),LPHMA4BG8SY001464
70,กำลังจดทะเบียน,Sunlong,โครงการ มหิดล ภายนอก (9คัน),LPHFA4BGXSY001460
76,กำลังจดทะเบียน,Sunlong,โครงการ มหิดล ภายใน (15คัน),LPHFA3BE7NY000263
77,กำลังจดทะเบียน,Sunlong,โครงการ มหิดล ภายใน (15คัน),LPHFA3BE9NY000264
78,กำลังจดทะเบียน,Sunlong,โครงการ มหิดล ภายใน (15คัน),LPHFA3BE0NY000265
79,กำลังจดทะเบียน,Sunlong,โครงการ มหิดล ภายใน (15คัน),LPHFA3BE4NY000267
80,กำลังจดทะเบียน,Sunlong,โครงการ มหิดล ภายใน (15คัน),LPHFA3BE2NY000266
86,กำลังจดทะเบียน,Sunlong,โครงการ มหิดล ภายใน (15คัน),LPHFA3BF4SY001455
87,กำลังจดทะเบียน,Sunlong,โครงการ มหิดล ภายใน (15คัน),LPHFA3BF6SY001456
88,กำลังจดทะเบียน,Sunlong,โครงการ มหิดล ภายใน (15คัน),LPHFA3BF8SY001457
89,กำลังจดทะเบียน,Sunlong,โครงการ มหิดล ภายใน (15คัน),LPHFA3BFXSY001458
